x	RK4	y_a1	E
0	1	1	0
0.1	5.43554e+06	-nan	nan
0.2	inf	-nan	nan
0.3	inf	-nan	nan
0.4	inf	-nan	nan
0.5	inf	-nan	nan
0.6	inf	-nan	nan
0.7	inf	-nan	nan
0.8	inf	-nan	nan
0.9	inf	-nan	nan
1	inf	-nan	nan
1.1	inf	-nan	nan
1.2	inf	-nan	nan
1.3	inf	-nan	nan
1.4	inf	-nan	nan
1.5	inf	-nan	nan
1.6	inf	-nan	nan
1.7	inf	-nan	nan
1.8	inf	-nan	nan
1.9	inf	-nan	nan
2	inf	-nan	nan
2.1	inf	-nan	nan
2.2	inf	-nan	nan
2.3	inf	-nan	nan
2.4	inf	-nan	nan
2.5	inf	-nan	nan
2.6	inf	-nan	nan
2.7	inf	-nan	nan
2.8	inf	-nan	nan
2.9	inf	-nan	nan
3	inf	-nan	nan
3.1	inf	-nan	nan
3.2	inf	-nan	nan
3.3	inf	-nan	nan
3.4	inf	-nan	nan
3.5	inf	-nan	nan
3.6	inf	-nan	nan
3.7	inf	-nan	nan
3.8	inf	-nan	nan
3.9	inf	-nan	nan
4	inf	-nan	nan
4.1	inf	-nan	nan
4.2	inf	-nan	nan
4.3	inf	-nan	nan
4.4	inf	-nan	nan
4.5	inf	-nan	nan
4.6	inf	-nan	nan
4.7	inf	-nan	nan
4.8	inf	-nan	nan
4.9	inf	-nan	nan
5	inf	-nan	nan
5.1	inf	-nan	nan
5.2	inf	-nan	nan
5.3	inf	-nan	nan
5.4	inf	-nan	nan
5.5	inf	-nan	nan
5.6	inf	-nan	nan
5.7	inf	-nan	nan
5.8	inf	-nan	nan
5.9	inf	-nan	nan
6	inf	-nan	nan
6.1	inf	-nan	nan
6.2	inf	-nan	nan
6.3	inf	-nan	nan
6.4	inf	-nan	nan
6.5	inf	-nan	nan
6.6	inf	-nan	nan
6.7	inf	-nan	nan
6.8	inf	-nan	nan
6.9	inf	-nan	nan
7	inf	-nan	nan
7.1	inf	-nan	nan
7.2	inf	-nan	nan
7.3	inf	-nan	nan
7.4	inf	-nan	nan
7.5	inf	-nan	nan
7.6	inf	-nan	nan
7.7	inf	-nan	nan
7.8	inf	-nan	nan
7.9	inf	-nan	nan
8	inf	-nan	nan
8.1	inf	-nan	nan
8.2	inf	-nan	nan
8.3	inf	-nan	nan
8.4	inf	-nan	nan
8.5	inf	-nan	nan
8.6	inf	-nan	nan
8.7	inf	-nan	nan
8.8	inf	-nan	nan
8.9	inf	-nan	nan
9	inf	-nan	nan
9.1	inf	-nan	nan
9.2	inf	-nan	nan
9.3	inf	-nan	nan
9.4	inf	-nan	nan
9.5	inf	-nan	nan
9.6	inf	-nan	nan
9.7	inf	-nan	nan
9.8	inf	-nan	nan
9.9	inf	-nan	nan
10	inf	-nan	nan
